"accession","identifier"
"CVCL_E548","#15310-LN"
"CVCL_KA96","#16-15"
"CVCL_IW91","#40a"
"CVCL_B375","#490"
"CVCL_X345","#822"
"CVCL_E549","#W7079"
"CVCL_G217","(BF1) 8A3.31"
"CVCL_V152","[AD]FiPSAG07645-4F-17"
"CVCL_V153","[CRTRd]FiPS3067-4F-9"
"CVCL_V154","[CRTRd]FiPS3819-4F-2"
"CVCL_9S10","[ctrl.PD]FiPS005-4F-9"
"CVCL_C792","[GA]FiPS4F"
"CVCL_V156","[GD]FiPS-4F-21c"
"CVCL_9S09","[PD]FiPS006-4F-11"
"CVCL_V157","[PD]FiPS022-V4F-15"
"CVCL_9S12","[PD]FiPS031-4F-1"
"CVCL_9S11","[TSD]FiPS-4F-3-1"
"CVCL_6479","+/+ (A)"
"CVCL_6480","+/+ (B)"
"CVCL_S361","+/+ (C)"
"CVCL_4977","+/+ Li"
"CVCL_3627","+/+ MGT"
"CVCL_3628","+/+ SCT"
"CVCL_E557","00136"
"CVCL_6494","022HU-NSO"
"CVCL_IP58","0308"
"CVCL_IJ15","031M-CUMC/INSERM"
"CVCL_V362","051407cb"
"CVCL_Y448","066"
"CVCL_IJ16","066MD-CUMC/INSERM"
"CVCL_J077","07-4D"
"CVCL_6G61","07-S-0025#0100"
"CVCL_IP59","0822"
"CVCL_T913","090727 LQT3/BrS g1"
"CVCL_T914","090727 LQT3/BrS g2"
"CVCL_DB54","1-1A4"
"CVCL_DB55","1-1D5"
"CVCL_8653","1-1ras1000"
"CVCL_8654","1-1src"
"CVCL_Y308","1-29-7"
"CVCL_2260","1-5c-4"
"CVCL_2261","1-7HB2"
"CVCL_T367","1-8"
"CVCL_D231","1-87"
"CVCL_9V12","1-A2"
"CVCL_L211","1-LN"
"CVCL_LB75","1/2Pea"
"CVCL_LC22","1.1ASML"
"CVCL_1778","1.1B4"
"CVCL_2257","1.1E7"
"CVCL_2258","1.2B4"
"CVCL_AP65","1.2C7"
"CVCL_2259","1.4E7"
"CVCL_AP64","1.5A9"
"CVCL_KR63","1.90.6"
"CVCL_B376","10-1.D.2"
"CVCL_B377","10-2.16"
"CVCL_B378","10-3.6.2"
"CVCL_6341","10.014 pRSV-T"
"CVCL_J168","10.84.2"
"CVCL_KS99","10/78"
"CVCL_8478","10/9CRC1"
"CVCL_U069","10(AAT) Clone A"
"CVCL_T867","100-1#16"
"CVCL_T866","100-1#8"
"CVCL_T868","100-2#1"
"CVCL_N280","100-310"
"CVCL_T915","100213 LQT2 theta10"
"CVCL_T916","100213 LQT2 theta4"
"CVCL_6G62","10063349"
"CVCL_7942","1011-mel"
"CVCL_4806","1013L"
"CVCL_6G35","1016T"
"CVCL_J815","101A"
"CVCL_6751","103-LCL"
"CVCL_2267","104C1"
"CVCL_M609","105AJ"
"CVCL_M610","105AJ1.1"
"CVCL_M611","105AJ3.1"
"CVCL_M612","105AJ5.1"
"CVCL_M605","105KC"
"CVCL_E424","1066"
"CVCL_6G38","1072F"
"CVCL_GR77","1074-mel"
"CVCL_JD58","1083933x"
"CVCL_JD19","10843566"
"CVCL_8029","1088-mel"
"CVCL_0464","108CC15"
"CVCL_4076","108CC5"
"CVCL_4077","108CC5-BU"
"CVCL_4078","108CC5-BU-5"
"CVCL_4079","108CC5-BU-8"
"CVCL_4082","108CC5-TG-1"
"CVCL_4083","108CC5-TG-2"
"CVCL_4084","108CC5-TG-3"
"CVCL_4085","108CC5-TG-4"
"CVCL_4080","108CC5T-BU-1"
"CVCL_4081","108CC5T-BU-4"
"CVCL_JD60","10913246"
"CVCL_6819","10B10"
"CVCL_B379","10B9"
"CVCL_H997","10C4.1.3"
"CVCL_D146","10C7"
"CVCL_R704","10C9"
"CVCL_G563","10D2F6"
"CVCL_Y303","10E2"
"CVCL_G016","10E5"
"CVCL_IV59","10F11.B2.C3"
"CVCL_G564","10F7MN"
"CVCL_LH44","10G10.15.16"
"CVCL_U285","10G4"
"CVCL_N538","10H"
"CVCL_N539","10H-2"
"CVCL_H998","10H2.12.1"
"CVCL_6481","10P12"
"CVCL_6482","10P2"
"CVCL_0E96","10P8"
"CVCL_D856","11-18-ER1-7"
"CVCL_D857","11-18-ER2-1"
"CVCL_D776","11-18-GEF10-1"
"CVCL_D777","11-18-GEF20-1"
"CVCL_S745","11-18/R"
"CVCL_9138","11-26c"
"CVCL_2819","11-4"
"CVCL_G219","11-4.1"
"CVCL_G189","11-5.2.1.9"
"CVCL_J078","11-5F"
"CVCL_5948","11-9-1-4"
"CVCL_N790","11.9"
"CVCL_J035","110-5"
"CVCL_8030","1102-mel"
"CVCL_L307","11028"
"CVCL_L308","11031"
"CVCL_GR78","1106-mel"
"CVCL_G344","1107F-HA"
"CVCL_E341","111 BLCL"
"CVCL_JE03","11169540"
"CVCL_G218","1116NS-19-9"
"CVCL_7233","1116NS-3d"
"CVCL_J079","111A3"
"CVCL_JB56","1121A1"
"CVCL_S406","1123-mel"
"CVCL_JB57","1123C1-G"
"CVCL_E425","1125"
"CVCL_E426","1127"
"CVCL_J910","113F1"
"CVCL_J548","114-50D4"
"CVCL_J549","114-50G2"
"CVCL_8031","1143-mel"
"CVCL_JD06","1156492+"
"CVCL_2262","1156QE/8"
"CVCL_G220","116"
"CVCL_G221","116-13.1"
"CVCL_JE04","11684232"
"CVCL_T730","117-13"
"CVCL_0H96","117.1"
"CVCL_DI59","1174"
"CVCL_GR79","1174-mel"
"CVCL_E427","1180"
"CVCL_GR80","1180-mel"
"CVCL_E428","1181"
"CVCL_D317","1181N1"
